Fechas,Difusa_Avg
7/4/17 0:00,0.078
7/4/17 1:00,-0.112
7/4/17 2:00,-0.542
7/4/17 3:00,-0.709
7/4/17 4:00,-0.704
7/4/17 5:00,-0.415
7/4/17 6:00,-2.136
7/4/17 7:00,-1.35
7/4/17 8:00,-0.821
7/4/17 9:00,-1.985
7/4/17 10:00,-1.291
7/4/17 11:00,-0.973
7/4/17 12:00,-0.204
7/4/17 13:00,12.06
7/4/17 14:00,26.23
7/4/17 15:00,28.83
7/4/17 16:00,39.91
7/4/17 17:00,99.4
7/4/17 18:00,130.3
7/4/17 19:00,229
7/4/17 20:00,137.4
7/4/17 21:00,69.75
7/4/17 22:00,25.6
7/4/17 23:00,-0.987
7/5/17 0:00,-0.909
7/5/17 1:00,-1.097
7/5/17 2:00,-1.007
7/5/17 3:00,-1.099
7/5/17 4:00,-1.106
7/5/17 5:00,-1.161
7/5/17 6:00,-1.101
7/5/17 7:00,-1.653
7/5/17 8:00,-1.537
7/5/17 9:00,-1.414
7/5/17 10:00,-1.163
7/5/17 11:00,-0.232
7/5/17 12:00,-0.441
7/5/17 13:00,15.86
7/5/17 14:00,45.62
7/5/17 15:00,62.69
7/5/17 16:00,58.14
7/5/17 17:00,72.68
7/5/17 18:00,62.86
7/5/17 19:00,55.71
7/5/17 20:00,53.56
7/5/17 21:00,29.23
7/5/17 22:00,3.251
7/5/17 23:00,-0.809
7/6/17 0:00,-0.231
7/6/17 1:00,-1.011
7/6/17 2:00,-0.419
7/6/17 3:00,-0.098
7/6/17 4:00,-0.652
7/6/17 5:00,-0.524
7/6/17 6:00,-0.057
7/6/17 7:00,-0.606
7/6/17 8:00,-2.012
7/6/17 9:00,-0.32
7/6/17 10:00,0.062
7/6/17 11:00,-0.923
7/6/17 12:00,-1.065
7/6/17 13:00,26.31
7/6/17 14:00,105.6
7/6/17 15:00,86.4
7/6/17 16:00,125.4
7/6/17 17:00,223
7/6/17 18:00,231.4
7/6/17 19:00,191.8
7/6/17 20:00,121.8
7/6/17 21:00,68.44
7/6/17 22:00,14.81
7/6/17 23:00,-0.753
7/7/17 0:00,-0.675
7/7/17 1:00,-0.244
