Record;Global;Difusa;Directa;
102847;288.6486;191.0425;86.35612;
102848;275.2219;201.5253;29.21061;
102849;315.9259;205.6814;101.2444;|
102850;277.7856;198.4723;40.90881;
102851;241.8399;183.2655;8.295195;
102852;219.1163;167.9708;4.253931;
102853;204.5225;157.1362;4.253924;
102854;196.5464;151.0518;4.112119;
102855;193.4439;148.1638;4.25391;
102856;193.784;147.9478;4.253904;
102857;196.4372;149.6064;4.253899;
102858;199.7188;152.732;4.253894;
102859;206.2356;157.7263;4.25389;
102860;216.222;165.3054;4.253887;
102861;221.8832;169.473;4.253882;
102862;220.947;168.7392;4.253881;
102863;217.6152;166.3328;4.253877;
102864;215.0273;164.5449;4.253876;
102865;214.1715;163.8229;4.253874;
102866;213.9308;163.7298;3.828486;
102867;211.348;161.8242;4.112075;
102868;205.2581;157.1029;3.970279;
102869;198.1262;151.6953;3.757583;
102870;192.9257;147.7135;2.268729;
102871;190.4034;145.7326;2.19783;
102872;189.3607;144.9817;3.75758;
102873;188.86;144.7028;4.182965;
102874;188.4992;144.5224;2.623215;
102875;188.6868;144.7323;0.1417954;
102876;190.0839;145.7162;0.07089768;
102877;192.9319;147.8179;1.063465;
102878;197.8175;151.607;4.112064;
102879;204.059;156.4547;4.253859;
102880;210.2356;161.2458;4.041166;
102881;215.3497;165.2046;4.041165;
102882;219.5678;168.4181;4.18296;
102883;222.4024;170.7294;3.473984;
102884;223.7515;171.6832;1.559748;
102885;222.0457;170.5122;0.6380787;
102886;218.2814;167.595;1.276157;
102887;214.778;164.8817;1.843338;
102888;214.2424;164.4153;1.20526;
102889;217.918;167.209;1.347055;
102890;224.0266;171.8302;3.403085;
102891;230.4028;176.6497;4.041164;
102892;235.9699;180.9566;4.253857;
102893;239.1647;183.6399;4.182959;
102894;240.8684;185.0713;4.182959;
102895;243.4149;187.0503;4.253856;
102896;246.0812;188.9649;4.253856;
102897;249.1959;191.0952;4.253856;
102898;254.9503;195.3965;4.253856;
102899;260.5515;199.8029;4.253856;
102900;264.9091;202.9633;4.253856;
102901;265.7245;203.5162;4.253856;
102902;260.7846;200.0292;4.253856;
102903;252.5832;193.8358;4.253856;
102904;246.1529;188.8529;4.18296;
102905;243.3389;186.7399;2.623212;
102906;243.2786;186.571;1.559748;
102907;245.3782;188.0152;2.906802;
102908;249.645;191.2476;3.828471;
102909;256.1082;196.2126;4.253857;
102910;265.8264;203.7096;4.253858;
102911;278.6878;213.612;3.544881;
102912;292.5793;224.4055;3.26129;
102913;305.7731;234.6674;1.914236;
102914;317.5832;243.8232;2.9777;
102915;328.7718;252.3445;3.119495;
102916;342.0258;262.4201;3.473983;
102917;360.4532;276.3317;4.182959;
102918;384.9298;294.481;4.253856;
102919;409.0921;312.9037;4.253856;
102920;426.7912;327.1298;4.253856;
102921;431.7501;331.2796;4.253856;
102922;420.8883;323.4038;4.253856;
102923;407.7937;313.5544;2.835904;
102924;401.1964;308.2689;2.694109;
102925;400.1466;307.1277;3.757573;
102926;402.1852;308.2976;4.253856;
102927;403.936;309.0773;4.253856;
102928;402.2717;308.047;4.253856;
102929;399.9987;306.3063;4.253856;
102930;397.7328;304.8802;4.253856;
102931;397.6123;304.9906;4.253856;
102932;398.4945;305.7356;4.253856;
102933;400.0384;306.3467;4.253858;
102934;402.8524;305.753;7.231558;
102935;400.7267;305.6481;4.324754;
102936;404.7839;310.1534;4.253857;
102937;413.7805;317.4818;4.253857;
102938;429.7352;329.6416;4.253856;
102939;455.4685;348.6234;4.253856;
102940;476.8439;362.1569;8.082328;
102941;468.7362;356.0508;8.791306;
102942;435.2292;333.4541;4.253857;
102943;407.1363;312.7318;4.253857;
102944;393.0798;301.6489;4.253858;
102945;393.1199;301.3229;4.253858;
102946;403.1064;308.8614;4.253894;
102947;416.2477;318.5186;4.253918;
102948;428.0254;327.1396;4.253911;
102949;433.56;331.5521;4.253907;
102950;437.8314;334.6373;4.2539;
102951;445.204;338.8285;5.31737;
102952;454.4056;344.8688;8.507557;
102953;467.5659;354.6067;8.507498;
102954;480.2171;365.8455;5.884378;
102955;490.4433;375.2809;4.253772;
102956;499.4589;380.3734;7.231444;
102957;506.0894;379.8087;17.08606;
102958;508.8092;376.0073;27.08256;
102959;512.8126;370.5064;38.42594;
102960;503.3382;366.5052;33.67493;
102961;492.5296;370.5966;15.1714;
102962;499.8506;378.1311;12.76072;
102963;505.7431;381.7962;12.76067;
102964;508.8406;386.5611;8.01074;
102965;533.963;398.7425;21.76355;
102966;608.2405;420.7818;74.43492;
102967;820.6489;440.5583;301.9209;
102968;737.7807;441.1081;195.9386;
102969;592.0322;435.9621;28.71038;
102970;565.8382;427.7718;11.55526;
102971;546.9523;412.4138;12.7603;
102972;558.9834;392.6378;55.86143;
102973;651.8222;375.1094;194.8047;
102974;837.6648;362.651;441.6405;
102975;988.3422;355.6225;635.023;
102976;934.8574;347.7049;581.5706;
102977;649.2681;332.6218;258.1758;
102978;477.2026;321.4632;64.86266;
102979;569.6502;334.7413;157.3;
102980;620.9536;343.377;202.9516;
102981;534.919;337.6646;113.6325;
102982;725.4068;333.0429;344.7963;
102983;447.5355;321.7671;34.8056;
102984;574.7357;323.1111;178.8483;
102985;734.3424;312.9472;387.9642;
102986;821.8795;305.2184;499.4693;
102987;807.8065;314.004;466.2931;
102988;723.0494;323.9614;352.7325;
102989;601.2268;315.7131;222.7966;
102990;779.687;305.6157;447.2944;
102991;938.5632;302.5298;638.333;
102992;898.3997;306.5335;585.0262;
102993;961.5807;320.1795;634.717;
102994;696.2739;327.3955;309.6318;
102995;421.8315;319.3927;8.860793;
102996;397.4463;304.4417;4.25318;
102997;395.7614;297.9173;12.19244;
102998;592.5086;313.659;215.4233;
102999;799.8138;330.2327;424.4668;
103000;432.0534;329.4588;6.16713;
103001;427.0015;327.8527;4.253232;
103002;426.1468;327.4633;4.253256;
103003;416.4709;319.968;4.253278;
103004;400.9543;307.5666;4.253265;
103005;383.6934;294.4202;4.253257;
103006;385.5852;295.3926;4.253284;
103007;412.0019;313.7597;4.53685;
103008;437.5832;324.2585;18.1473;
103009;471.3906;324.3343;53.30766;
103010;413.9001;315.919;5.600123;
103011;393.6118;301.9868;4.253251;
103012;386.5346;296.5976;1.913958;
103013;388.0648;297.6335;1.346858;
103014;395.2692;303.0287;2.764629;
103015;401.865;308.1325;0;
103016;405.654;310.763;0.1417752;
103017;419.6808;316.4256;9.569836;
103018;424.2859;320.9946;5.812839;
103019;427.233;323.433;6.521709;
103020;439.0881;326.89;14.67378;
103021;430.2269;329.5262;1.772192;
103022;429.966;329.5028;0.8506499;
103023;429.0837;329.0953;0.07088749;
103024;427.2188;327.6342;0.1417744;
103025;422.5074;323.8978;2.622823;
103026;419.8806;321.9944;3.189914;
103027;421.4774;322.9253;1.84306;
103028;426.1347;326.3643;0.5670944;
103029;426.743;326.6554;0.2835489;
103030;427.3446;327.0804;1.843078;
103031;441.8197;334.9606;6.521705;
103032;489.1998;350.4355;34.66438;
103033;492.5547;364.1816;19.84868;
103034;509.4819;371.3341;28.78047;
103035;496.6579;371.3515;13.75224;
103036;493.1428;378.4223;2.8355;
103037;588.3694;390.6141;87.90022;
103038;833.3533;396.8817;344.0157;
103039;625.8712;398.5748;116.2547;
103040;1033.876;411.0403;543.6324;
103041;539.7786;403.7477;15.80779;
103042;497.0767;381.8426;4.040548;
103043;494.912;380.2134;2.906392;
103044;511.1774;390.293;6.167224;
103045;550.1903;412.9663;16.02054;
103046;589.3101;434.8888;28.92202;
103047;839.5588;446.9816;281.28;
103048;815.1406;447.2784;252.4289;
103049;665.4835;438.9093;101.1556;
103050;672.4867;419.041;135.8902;
103051;584.0557;412.447;46.0764;
103052;814.5034;418.2722;287.8;
103053;1097.455;422.7645;588.7845;
103054;1251.167;418.6673;761.6767;
103055;866.2177;408.89;357.3391;
103056;524.8571;390.8994;19.21025;
103057;478.6098;364.4171;7.44308;
103058;723.3835;356.6815;280.9263;
103059;944.7747;356.0977;516.7692;
103060;1185.208;363.3123;764.9446;
103061;1171.271;362.6359;751.8293;
103062;1081.47;369.0124;646.1356;
103063;839.8688;362.1736;393.4227;
103064;862.7601;331.4699;463.1801;
103065;1088.686;300.6852;750.0637;
103066;1102.585;297.3622;768.0746;
103067;1012.181;301.5405;664.863;
103068;844.9711;308.4191;477.011;
103069;948.1252;306.6035;588.5912;
103070;1024.265;298.8817;681.814;
103071;970.7465;295.3611;629.1437;
103072;1041.461;283.0212;722.6502;
103073;1037.752;282.893;718.2552;
103074;1039.861;281.0343;723.9293;
103075;956.9424;285.7827;626.9518;
103076;1093.259;298.5951;755.4777;
103077;1119.043;316.0812;759.1595;
103078;1032.037;329.38;646.4908;
103079;498.4498;338.7187;62.30958;
103080;702.0483;350.8705;262.6312;
103081;490.6709;342.7632;50.04519;
103082;432.6136;329.0905;7.655512;
103083;416.4147;321.2974;1.559456;
