Fechas,Temperatura
2017/7/4 0:00:00,5.173
2017/7/5 0:00:00,3.219
2017/7/6 0:00:00,4.799
2017/7/7 0:00:00,8.17
2017/7/8 0:00:00,8.18
2017/7/9 0:00:00,6.493
2017/7/10 0:00:00,4.97
2017/7/11 0:00:00,6.325
2017/7/12 0:00:00,6.721
2017/7/13 0:00:00,7.004
2017/7/14 0:00:00,6.492
2017/7/15 0:00:00,-0.303
2017/7/16 0:00:00,1.399
2017/7/17 0:00:00,0.641
2017/7/18 0:00:00,5.246
2017/7/19 0:00:00,5.873
2017/7/20 0:00:00,5.423
2017/7/21 0:00:00,7.638
2017/7/22 0:00:00,7.761
2017/7/23 0:00:00,7.886
2017/7/24 0:00:00,7.149
2017/7/25 0:00:00,5.348
2017/7/26 0:00:00,5.301
2017/7/27 0:00:00,6.616
2017/7/28 0:00:00,5.028
2017/7/29 0:00:00,5.003
2017/7/30 0:00:00,5.873
2017/7/31 0:00:00,7.483
2017/8/1 0:00:00,5.681
2017/8/2 0:00:00,5.269
2017/8/3 0:00:00,4.578
2017/8/4 0:00:00,5.836
2017/8/5 0:00:00,6.068
2017/8/6 0:00:00,6.195
2017/8/7 0:00:00,7.067
2017/8/8 0:00:00,7.682
2017/8/9 0:00:00,7.881
2017/8/10 0:00:00,6.633
2017/8/11 0:00:00,4.339
2017/8/12 0:00:00,2.376
2017/8/13 0:00:00,6.094
2017/8/14 0:00:00,4.224
2017/8/15 0:00:00,6.946
2017/8/16 0:00:00,5.707
2017/8/17 0:00:00,7.779
2017/8/18 0:00:00,5.531
2017/8/19 0:00:00,5.71
2017/8/20 0:00:00,5.336
2017/8/21 0:00:00,6.991
2017/8/22 0:00:00,7.857
2017/8/23 0:00:00,6.492
2017/8/24 0:00:00,6.641
2017/8/25 0:00:00,5.948
2017/8/26 0:00:00,5.767
2017/8/27 0:00:00,6.746
2017/8/28 0:00:00,5.705
2017/8/29 0:00:00,4.87
2017/8/30 0:00:00,5.187
2017/8/31 0:00:00,7.425
2017/9/1 0:00:00,5.877
2017/9/2 0:00:00,7.374
2017/9/3 0:00:00,7.535
2017/9/4 0:00:00,5.541
2017/9/5 0:00:00,6.794
2017/9/6 0:00:00,6.139
2017/9/7 0:00:00,6.482
2017/9/8 0:00:00,4.955
2017/9/9 0:00:00,6.37
2017/9/10 0:00:00,4.638
2017/9/11 0:00:00,3.348
2017/9/12 0:00:00,6.308
2017/9/13 0:00:00,7.844
2017/9/14 0:00:00,7.028
2017/9/15 0:00:00,6.205
2017/9/16 0:00:00,8.71
2017/9/17 0:00:00,9.18
2017/9/18 0:00:00,6.256
2017/9/19 0:00:00,7.803
2017/9/20 0:00:00,8.2
2017/9/21 0:00:00,7.726
2017/9/22 0:00:00,8.83
2017/9/23 0:00:00,8.37
2017/9/24 0:00:00,8.77
2017/9/25 0:00:00,10.26
2017/9/26 0:00:00,10.9
2017/9/27 0:00:00,11.41
2017/9/28 0:00:00,10.96
2017/9/29 0:00:00,12.11
2017/9/30 0:00:00,6.78
2017/10/1 0:00:00,6.831
2017/10/2 0:00:00,6.65
2017/10/3 0:00:00,9.81
2017/10/4 0:00:00,7.093
2017/10/5 0:00:00,5.871
2017/10/6 0:00:00,8.51
2017/10/7 0:00:00,8.51
2017/10/8 0:00:00,7.524
2017/10/9 0:00:00,7.802
2017/10/10 0:00:00,6.73
2017/10/11 0:00:00,5.067
2017/10/12 0:00:00,6.852
2017/10/13 0:00:00,7.6
2017/10/14 0:00:00,10.67
2017/10/15 0:00:00,10.79
2017/10/16 0:00:00,7.027
2017/10/17 0:00:00,8.26
2017/10/18 0:00:00,9.31
2017/10/19 0:00:00,10.85
2017/10/20 0:00:00,10.14
2017/10/21 0:00:00,9.41
2017/10/22 0:00:00,12.7
2017/10/23 0:00:00,13.57
2017/10/24 0:00:00,10.58
2017/10/25 0:00:00,10.52
2017/10/26 0:00:00,9.55
2017/10/27 0:00:00,9.93
2017/10/28 0:00:00,7.174
2017/10/29 0:00:00,8.07
2017/10/30 0:00:00,5.947
2017/10/31 0:00:00,8.01
2017/11/1 0:00:00,9.31
2017/11/2 0:00:00,10.08
2017/11/3 0:00:00,8.83
2017/11/4 0:00:00,10.28
2017/11/5 0:00:00,11.61
2017/11/6 0:00:00,13.12
2017/11/7 0:00:00,13.6
2017/11/8 0:00:00,13.61
2017/11/9 0:00:00,12.96
2017/11/10 0:00:00,14.43
2017/11/11 0:00:00,15.14
2017/11/12 0:00:00,13.76
