Fechas,Global,Difusa,Directa
2017/7/4 0:00:00,0.293,0.078,1297
2017/7/4 1:00:00,-0.089,-0.112,1544
2017/7/4 2:00:00,-0.63,-0.542,1389
2017/7/4 3:00:00,-0.802,-0.709,1064
2017/7/4 4:00:00,-0.646,-0.704,904
2017/7/4 5:00:00,-0.399,-0.415,1002
2017/7/4 6:00:00,-2.635,-2.136,602.4
2017/7/4 7:00:00,-1.722,-1.35,160.6
2017/7/4 8:00:00,-0.967,-0.821,389.4
2017/7/4 9:00:00,-2.208,-1.985,631.4
2017/7/4 10:00:00,-1.564,-1.291,-13.82
2017/7/4 11:00:00,-0.998,-0.973,522.1
2017/7/4 12:00:00,-0.165,-0.204,238.6
2017/7/4 13:00:00,15.89,12.06,252.2
2017/7/4 14:00:00,34.47,26.23,421.7
2017/7/4 15:00:00,37.85,28.83,593.2
2017/7/4 16:00:00,52.42,39.91,349.5
2017/7/4 17:00:00,130.1,99.4,726
2017/7/4 18:00:00,171.3,130.3,1458
2017/7/4 19:00:00,407.8,229,2330
2017/7/4 20:00:00,376.3,137.4,4203
2017/7/4 21:00:00,118.4,69.75,1964
2017/7/4 22:00:00,44.49,25.6,708.4
2017/7/4 23:00:00,-0.948,-0.987,326.1
2017/7/5 0:00:00,-0.806,-0.909,170.2
2017/7/5 1:00:00,-1.111,-1.097,168.9
2017/7/5 2:00:00,-1.22,-1.007,-119.5
2017/7/5 3:00:00,-1.387,-1.099,-283.6
2017/7/5 4:00:00,-1.273,-1.106,-371.3
2017/7/5 5:00:00,-1.158,-1.161,-449.4
2017/7/5 6:00:00,-1.036,-1.101,-457.1
2017/7/5 7:00:00,-1.833,-1.653,-378.2
2017/7/5 8:00:00,-1.774,-1.537,-489.3
2017/7/5 9:00:00,-1.585,-1.414,-459.8
2017/7/5 10:00:00,-1.525,-1.163,-517.3
2017/7/5 11:00:00,-0.255,-0.232,-641.7
2017/7/5 12:00:00,-0.385,-0.441,-453.8
2017/7/5 13:00:00,20.96,15.86,-230.8
2017/7/5 14:00:00,59.62,45.62,-158.3
2017/7/5 15:00:00,81.9,62.69,358.8
2017/7/5 16:00:00,76.01,58.14,449.4
2017/7/5 17:00:00,95,72.68,494.5
2017/7/5 18:00:00,82.1,62.86,519.7
2017/7/5 19:00:00,72.93,55.71,719.9
2017/7/5 20:00:00,70.05,53.56,509.7
2017/7/5 21:00:00,38.29,29.23,26.61
2017/7/5 22:00:00,4.369,3.251,473.8
2017/7/5 23:00:00,-0.827,-0.809,566.9
2017/7/6 0:00:00,-0.211,-0.231,509.8
2017/7/6 1:00:00,-1.191,-1.011,304.9
