Fechas,Global_Avg,Difusa_Avg,Directa_Avg
2017-07-03 21:50:00,1.614171,1.064691,977.9261
2017-07-03 22:01:00,0.8023213,0.6987131,2092.886
2017-07-03 22:11:00,-0.4011606,-0.6754226,1368.619
2017-07-03 22:21:00,-0.3075565,0.0,1077.041
2017-07-03 22:31:00,-0.8023213,-0.6987131,1445.272
2017-07-03 22:41:00,-0.8023183,-0.6987105,1254.432
2017-07-03 22:51:00,-0.8023006,-0.6986951,1084.875
2017-07-03 23:01:00,-0.4278965,-0.6986997,1060.082
2017-07-03 23:11:00,0.2072642,0.0,1298.627
2017-07-03 23:21:00,0.4011588,0.0,1047.966
2017-07-03 23:31:00,0.4011544,0.168853,940.1729
2017-07-03 23:41:00,0.4011533,0.0,1744.097
2017-07-03 23:51:00,0.4011499,0.2678329,1447.772
2017-07-04 00:01:00,0.4011473,0.0,1540.524
2017-07-04 00:11:00,0.4011424,0.0,1534.045
2017-07-04 00:21:00,0.0,0.0,1688.696
2017-07-04 00:31:00,-0.6885708,-0.6986235,1732.867
2017-07-04 00:41:00,-0.4011069,0.0,1686.536
2017-07-04 00:51:00,-0.4010949,-0.005821656,1627.198
2017-07-04 01:01:00,-0.4010898,-0.3958675,1568.973
2017-07-04 01:11:00,-0.4010895,0.0,1295.548
2017-07-04 01:21:00,-0.8021668,-0.6985785,1445.574
2017-07-04 01:31:00,-0.4010846,-0.2968969,1220.395
2017-07-04 01:41:00,-0.8021527,-0.6985663,1433.562
2017-07-04 01:51:00,-0.8021489,-0.6985629,1165.205
2017-07-04 02:01:00,-0.8021725,-0.6985836,947.5832
2017-07-04 02:11:00,-0.8022009,-0.6986082,1276.462
2017-07-04 02:21:00,-0.8022394,-0.6986418,1227.21
2017-07-04 02:31:00,-0.8022578,-0.6986578,1165.794
2017-07-04 02:41:00,-0.8022521,-0.6986529,1192.57
2017-07-04 02:51:00,-0.8022604,-0.7161266,814.7021
2017-07-04 03:01:00,-0.8022709,-0.6986692,752.8662
2017-07-04 03:11:00,-0.8022879,-0.9898024,905.634
2017-07-04 03:21:00,-0.4345788,-0.698694,811.1003
2017-07-04 03:31:00,-0.6150922,-0.6986893,1055.523
2017-07-04 03:41:00,-0.4011526,-0.3901069,762.9056
2017-07-04 03:51:00,-0.4613242,-0.6986971,641.2928
2017-07-04 04:01:00,-0.8023109,-0.6987041,982.0881
2017-07-04 04:11:00,-0.4011582,-0.6113702,927.2076
2017-07-04 04:21:00,-0.2808117,0.0,592.0919
2017-07-04 04:31:00,0.4813857,0.3435289,1188.775
2017-07-04 04:41:00,0.4011513,0.0,1112.4
2017-07-04 04:51:00,-0.8023043,-0.8966628,1543.42
2017-07-04 05:01:00,-2.995232,-2.445414,1118.631
2017-07-04 05:11:00,-2.406914,-1.746747,633.4262
2017-07-04 05:21:00,-2.493858,-2.375602,1016.836
2017-07-04 05:31:00,-3.209271,-2.445485,490.0532
2017-07-04 05:41:00,-2.473819,-2.200942,508.3481
2017-07-04 05:51:00,-2.406972,-1.746789,620.6042
2017-07-04 06:01:00,-2.005829,-1.746805,328.7427
2017-07-04 06:11:00,-1.885497,-1.740999,215.9237
2017-07-04 06:21:00,-2.005842,-1.746817,-47.29704
2017-07-04 06:31:00,-2.005859,-1.746831,223.8688
2017-07-04 06:41:00,-1.60472,-1.04812,320.9489
2017-07-04 06:51:00,-1.203539,-1.048119,-120.7601
2017-07-04 07:01:00,-1.290443,-1.048105,84.172
2017-07-04 07:11:00,-0.8023604,-0.6987471,-333.4921
