Fechas,Temperatura
2017/5/10 19:40:00,14.24
2017/5/10 19:50:00,14.38
2017/5/10 20:00:00,14.38
2017/5/10 20:10:00,14.49
2017/5/10 20:20:00,14.39
2017/5/10 20:30:00,14.18
2017/5/10 20:40:00,14.05
2017/5/10 20:50:00,13.99
2017/5/10 21:00:00,14.11
2017/5/10 21:10:00,14.14
2017/5/10 21:20:00,14.3
2017/5/10 21:30:00,14.02
2017/5/10 21:40:00,13.86
2017/5/10 21:50:00,13.72
2017/5/10 22:00:00,13.56
2017/5/10 22:10:00,13.44
2017/5/10 22:20:00,13.48
2017/5/10 22:30:00,13.54
2017/5/10 22:40:00,13.63
2017/5/10 22:50:00,13.5
2017/5/10 23:00:00,13.67
2017/5/10 23:10:00,13.67
2017/5/10 23:20:00,13.58
2017/5/10 23:30:00,13.51
2017/5/10 23:40:00,13.39
2017/5/10 23:50:00,13.35
2017/5/11 0:00:00,13.49
2017/5/11 0:10:00,13.5
2017/5/11 0:20:00,13.32
2017/5/11 0:30:00,13.49
2017/5/11 0:40:00,13.34
2017/5/11 0:50:00,13.22
2017/5/11 1:00:00,13.46
2017/5/11 1:10:00,13.27
2017/5/11 1:20:00,12.68
2017/5/11 1:30:00,12.31
2017/5/11 1:40:00,12.05
2017/5/11 1:50:00,12.03
2017/5/11 2:00:00,12.04
2017/5/11 2:10:00,12.11
2017/5/11 2:20:00,12.16
2017/5/11 2:30:00,12.03
2017/5/11 2:40:00,11.93
2017/5/11 2:50:00,12.17
2017/5/11 3:00:00,12.51
2017/5/11 3:10:00,12.54
2017/5/11 3:20:00,12.52
2017/5/11 3:30:00,12.52
2017/5/11 3:40:00,12.74
2017/5/11 3:50:00,12.76
2017/5/11 4:00:00,12.49
2017/5/11 4:10:00,12.27
2017/5/11 4:20:00,12.38
2017/5/11 4:30:00,12.36
2017/5/11 4:40:00,12.27
2017/5/11 4:50:00,12.18
2017/5/11 5:00:00,12.23
2017/5/11 5:10:00,12.08
2017/5/11 5:20:00,12
2017/5/11 5:30:00,11.82
2017/5/11 5:40:00,12.29
2017/5/11 5:50:00,12.17
2017/5/11 6:00:00,12.33
2017/5/11 6:10:00,12.28
2017/5/11 6:20:00,12.26
2017/5/11 6:30:00,11.62
2017/5/11 6:40:00,11.35
2017/5/11 6:50:00,11.26
2017/5/11 7:00:00,11.62
2017/5/11 7:10:00,11.76
2017/5/11 7:20:00,11.8
2017/5/11 7:30:00,12.32
2017/5/11 7:40:00,12.64
2017/5/11 7:50:00,12.3
2017/5/11 8:00:00,12.3
2017/5/11 8:10:00,12.18
2017/5/11 8:20:00,12.33
2017/5/11 8:30:00,12.96
2017/5/11 8:40:00,12.81
2017/5/11 8:50:00,11.96
2017/5/11 9:00:00,11.65
2017/5/11 9:10:00,12.21
2017/5/11 9:20:00,12.45
2017/5/11 9:30:00,12.14
2017/5/11 9:40:00,11.94
2017/5/11 9:50:00,11.83
2017/5/11 10:00:00,11.39
2017/5/11 10:10:00,11.5
2017/5/11 10:20:00,11.1
2017/5/11 10:30:00,11.36
2017/5/11 10:40:00,11.12
2017/5/11 10:50:00,11.31
2017/5/11 11:00:00,11.33
2017/5/11 11:10:00,11.69
2017/5/11 11:20:00,12.2
2017/5/11 11:30:00,12.09
2017/5/11 11:40:00,12.21
2017/5/11 11:50:00,12.13
2017/5/11 12:00:00,11.99
