Fechas,Directa_Avg
2017-07-03 21:50:00,977.9261
2017-07-03 21:51:00,4829.491
2017-07-03 21:53:00,-140.1451
2017-07-03 21:54:00,2246.051
2017-07-03 21:55:00,2821.834
2017-07-03 21:56:00,2964.929
2017-07-03 21:57:00,2502.104
2017-07-03 21:58:00,2269.096
2017-07-03 21:59:00,2089.554
2017-07-03 22:00:00,2122.81
2017-07-03 22:01:00,2092.886
2017-07-03 22:02:00,1876.046
2017-07-03 22:03:00,2028.784
2017-07-03 22:04:00,1736.142
2017-07-03 22:05:00,1768.618
2017-07-03 22:06:00,1564.471
2017-07-03 22:07:00,1680.762
2017-07-03 22:08:00,1701.467
2017-07-03 22:09:00,1788.828
2017-07-03 22:10:00,1709.196
2017-07-03 22:11:00,1368.619
2017-07-03 22:12:00,1327.208
2017-07-03 22:13:00,1343.234
2017-07-03 22:14:00,1494.341
2017-07-03 22:15:00,1441.443
2017-07-03 22:16:00,1518.876
2017-07-03 22:17:00,1315.792
2017-07-03 22:18:00,1248.499
2017-07-03 22:19:00,1408.399
2017-07-03 22:20:00,1166.173
2017-07-03 22:21:00,1077.041
2017-07-03 22:22:00,1599.358
2017-07-03 22:23:00,1398.33
2017-07-03 22:24:00,1627.722
2017-07-03 22:25:00,1349.048
2017-07-03 22:26:00,1326.003
2017-07-03 22:27:00,1641.974
2017-07-03 22:28:00,1486.045
2017-07-03 22:29:00,1115.119
2017-07-03 22:30:00,1244.67
2017-07-03 22:31:00,1445.272
2017-07-03 22:32:00,1272.537
2017-07-03 22:33:00,1255.803
2017-07-03 22:34:00,1264.737
2017-07-03 22:35:00,1345.432
2017-07-03 22:36:00,1156.104
2017-07-03 22:37:00,1156.388
2017-07-03 22:38:00,1486.258
2017-07-03 22:39:00,1263.674
2017-07-03 22:40:00,1105.546
2017-07-03 22:41:00,1254.432
2017-07-03 22:42:00,1221.301
2017-07-03 22:43:00,1316.321
2017-07-03 22:44:00,1220.954
2017-07-03 22:45:00,1264.354
2017-07-03 22:46:00,1246.7
2017-07-03 22:47:00,1158.751
2017-07-03 22:48:00,911.9889
2017-07-03 22:49:00,941.1387
2017-07-03 22:50:00,1108.621
2017-07-03 22:51:00,1084.875
2017-07-03 22:52:00,1218.252
2017-07-03 22:53:00,1048.933
2017-07-03 22:54:00,884.641
2017-07-03 22:55:00,784.24
2017-07-03 22:56:00,833.3793
2017-07-03 22:57:00,1102.762
2017-07-03 22:58:00,1112.264
2017-07-03 22:59:00,1185.87
