Fechas,Presión
2017/5/10 19:40:00,948.9368
2017/5/10 19:50:00,948.8502
2017/5/10 20:00:00,948.7661
2017/5/10 20:10:00,948.625
2017/5/10 20:20:00,948.5206
2017/5/10 20:30:00,948.6318
2017/5/10 20:40:00,948.5654
2017/5/10 20:50:00,948.4446
2017/5/10 21:00:00,948.6101
2017/5/10 21:10:00,948.6725
2017/5/10 21:20:00,948.621
2017/5/10 21:30:00,948.5464
2017/5/10 21:40:00,948.5586
2017/5/10 21:50:00,948.7836
2017/5/10 22:00:00,948.842
2017/5/10 22:10:00,948.9871
2017/5/10 22:20:00,949.0047
2017/5/10 22:30:00,949.0468
2017/5/10 22:40:00,948.9813
2017/5/10 22:50:00,949.0801
2017/5/10 23:00:00,949.173
2017/5/10 23:10:00,949.2516
2017/5/10 23:20:00,949.272
2017/5/10 23:30:00,949.3262
2017/5/10 23:40:00,949.4022
2017/5/10 23:50:00,949.3696
2017/5/11 0:00:00,949.3113
2017/5/11 0:10:00,949.2191
2017/5/11 0:20:00,949.1364
2017/5/11 0:30:00,949.0673
2017/5/11 0:40:00,949.0293
2017/5/11 0:50:00,948.9926
2017/5/11 1:00:00,948.9465
2017/5/11 1:10:00,948.9276
2017/5/11 1:20:00,948.8909
2017/5/11 1:30:00,949.0456
2017/5/11 1:40:00,949.0374
2017/5/11 1:50:00,949.0456
2017/5/11 2:00:00,949.2458
2017/5/11 2:10:00,949.4164
2017/5/11 2:20:00,949.4011
2017/5/11 2:30:00,949.41
2017/5/11 2:40:00,949.4879
2017/5/11 2:50:00,949.4603
2017/5/11 3:00:00,949.3734
2017/5/11 3:10:00,949.2411
2017/5/11 3:20:00,949.0439
2017/5/11 3:30:00,948.8085
2017/5/11 3:40:00,949.0009
2017/5/11 3:50:00,949.1752
2017/5/11 4:00:00,949.2975
2017/5/11 4:10:00,949.1208
2017/5/11 4:20:00,949.044
2017/5/11 4:30:00,948.8104
2017/5/11 4:40:00,948.952
2017/5/11 4:50:00,949.012
2017/5/11 5:00:00,948.5623
2017/5/11 5:10:00,948.5399
2017/5/11 5:20:00,948.6071
2017/5/11 5:30:00,948.6104
2017/5/11 5:40:00,948.6306
2017/5/11 5:50:00,948.4359
2017/5/11 6:00:00,948.2053
2017/5/11 6:10:00,948.086
2017/5/11 6:20:00,947.9338
2017/5/11 6:30:00,947.7947
2017/5/11 6:40:00,947.7736
2017/5/11 6:50:00,947.7162
2017/5/11 7:00:00,947.4687
2017/5/11 7:10:00,947.3356
2017/5/11 7:20:00,947.5964
2017/5/11 7:30:00,947.6941
2017/5/11 7:40:00,947.607
2017/5/11 7:50:00,947.6971
2017/5/11 8:00:00,948.0781
2017/5/11 8:10:00,948.1849
2017/5/11 8:20:00,948.2902
2017/5/11 8:30:00,948.4385
2017/5/11 8:40:00,948.3792
2017/5/11 8:50:00,948.3558
2017/5/11 9:00:00,948.4648
2017/5/11 9:10:00,948.5734
2017/5/11 9:20:00,948.6495
2017/5/11 9:30:00,948.8914
2017/5/11 9:40:00,949.1024
2017/5/11 9:50:00,949.2172
2017/5/11 10:00:00,949.2676
2017/5/11 10:10:00,949.5274
2017/5/11 10:20:00,949.6381
2017/5/11 10:30:00,949.7029
2017/5/11 10:40:00,949.7411
2017/5/11 10:50:00,949.5267
2017/5/11 11:00:00,949.365
2017/5/11 11:10:00,949.6044
2017/5/11 11:20:00,949.757
2017/5/11 11:30:00,949.5026
2017/5/11 11:40:00,949.3163
2017/5/11 11:50:00,949.1003
2017/5/11 12:00:00,948.8895
2017/5/11 12:10:00,948.8992
2017/5/11 12:20:00,948.6126
2017/5/11 12:30:00,948.4327
2017/5/11 12:40:00,948.3418
2017/5/11 12:50:00,948.5384
2017/5/11 13:00:00,948.3391
2017/5/11 13:10:00,948.1343
2017/5/11 13:20:00,948.1058
2017/5/11 13:30:00,948.3038
2017/5/11 13:40:00,948.3187
2017/5/11 13:50:00,948.3459
2017/5/11 14:00:00,948.034
2017/5/11 14:10:00,948.0584
2017/5/11 14:20:00,948.0028
2017/5/11 14:30:00,947.8848
2017/5/11 14:40:00,947.6855
2017/5/11 14:50:00,947.6598
2017/5/11 15:00:00,947.4333
2017/5/11 15:10:00,947.3914
2017/5/11 15:20:00,947.3046
2017/5/11 15:30:00,947.4415
2017/5/11 15:40:00,947.6218
2017/5/11 15:50:00,947.6327
2017/5/11 16:00:00,947.657
2017/5/11 16:10:00,947.649
2017/5/11 16:20:00,947.5554
2017/5/11 16:30:00,947.3832
2017/5/11 16:40:00,947.4157
2017/5/11 16:50:00,947.4184
2017/5/11 17:00:00,947.4374
2017/5/11 17:10:00,947.5798
2017/5/11 17:20:00,947.6855
2017/5/11 17:30:00,947.6964
2017/5/11 17:40:00,947.8808
2017/5/11 17:50:00,947.9005
2017/5/11 18:00:00,947.8526
