Fechas,WindDir_d1_WVT
2017-05-10 19:40:00,135.7
2017-05-10 19:50:00,132.7
2017-05-10 20:00:00,141.4
2017-05-10 20:10:00,198.7
2017-05-10 20:20:00,244.6
2017-05-10 20:30:00,237.6
2017-05-10 20:40:00,241.8
2017-05-10 20:50:00,263.9
2017-05-10 21:00:00,305.6
2017-05-10 21:10:00,290.1
2017-05-10 21:20:00,293.3
2017-05-10 21:30:00,316.6
2017-05-10 21:40:00,329.0
2017-05-10 21:50:00,319.0
2017-05-10 22:00:00,337.0
2017-05-10 22:10:00,344.2
2017-05-10 22:20:00,331.5
2017-05-10 22:30:00,341.9
2017-05-10 22:40:00,317.7
2017-05-10 22:50:00,7.873
2017-05-10 23:00:00,325.3
2017-05-10 23:10:00,340.3
2017-05-10 23:20:00,338.6
2017-05-10 23:30:00,350.8
2017-05-10 23:40:00,351.4
2017-05-10 23:50:00,352.6
2017-05-11 00:00:00,325.7
2017-05-11 00:10:00,212.3
2017-05-11 00:20:00,235.4
2017-05-11 00:30:00,242.2
2017-05-11 00:40:00,268.4
2017-05-11 00:50:00,288.1
2017-05-11 01:00:00,255.8
2017-05-11 01:10:00,257.6
2017-05-11 01:20:00,230.5
2017-05-11 01:30:00,278.8
2017-05-11 01:40:00,271.5
2017-05-11 01:50:00,274.4
2017-05-11 02:00:00,302.7
2017-05-11 02:10:00,340.3
2017-05-11 02:20:00,339.1
2017-05-11 02:30:00,3.389
2017-05-11 02:40:00,359.0
2017-05-11 02:50:00,49.13
2017-05-11 03:00:00,99.1
2017-05-11 03:10:00,94.9
2017-05-11 03:20:00,96.4
2017-05-11 03:30:00,91.4
2017-05-11 03:40:00,82.6
2017-05-11 03:50:00,55.84
2017-05-11 04:00:00,0.08
2017-05-11 04:10:00,34.6
2017-05-11 04:20:00,65.34
2017-05-11 04:30:00,74.94
2017-05-11 04:40:00,71.92
2017-05-11 04:50:00,67.31
2017-05-11 05:00:00,85.6
2017-05-11 05:10:00,92.2
2017-05-11 05:20:00,120.3
2017-05-11 05:30:00,112.6
2017-05-11 05:40:00,90.8
2017-05-11 05:50:00,80.1
2017-05-11 06:00:00,79.42
2017-05-11 06:10:00,79.67
2017-05-11 06:20:00,100.9
2017-05-11 06:30:00,248.6
2017-05-11 06:40:00,164.6
2017-05-11 06:50:00,154.2
2017-05-11 07:00:00,118.5
2017-05-11 07:10:00,112.5
2017-05-11 07:20:00,147.3
2017-05-11 07:30:00,54.91
2017-05-11 07:40:00,63.5
2017-05-11 07:50:00,91.4
2017-05-11 08:00:00,12.05
2017-05-11 08:10:00,40.22
